Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Bolivia,BOL,2.2431194687768E-05,2.41273279200143E-05,2.55458534917657E-05,2.53654085126076E-05,2.79480682884367E-05,2.87474629809552E-05,3.07459497122516E-05,3.41894960797163E-05,3.60598746873397E-05,3.68567072174334E-05,3.83145776662895E-05,3.97224906184027E-05,4.23090380775013E-05,5.56304739870008E-05,9.05864806797376E-05,9.78123341769705E-05,0.000102208,0.000110494,0.000121937,0.000145982,0.000214947,0.000284017,0.000634879,0.002384519,0.032938553,3.903099879,14.6887687,16.83019999,19.52338392,22.48575835,26.33504464,31.98314005,35.84041024,38.89683632,41.95959042,46.23661822,51.98174303,54.42927448,58.60575733,59.8713582,62.63036808,63.62597409,64.21658783,66.35967196,69.3043033,73.04204452,76.16999415,82.80105619,94.39884345,97.55785751,100,109.8844642,114.8464103,121.43446,128.4371005,133.6511464,138.4936139,142.4029535,145.6384339,148.3175185,149.7128039,150.8167617,153.4505182
Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.04970121,90.25947692,91.61407048,98.41828699,98.04285638,100,103.67125,105.7992833,,,,,,,,,,
Botswana,BWA,,,,,,,,,,,,,,,3.038577059,3.402439218,3.801627801,4.302253684,4.691349002,5.241936541,5.956539616,6.935081539,7.707455886,8.514977124,9.24534665,9.993718243,10.99326152,12.07081374,13.07892942,14.59281743,16.25586542,18.1683706,21.10576234,24.13038763,26.67443533,29.47859764,32.4508828,35.28057747,37.63075739,40.54687624,44.03450978,46.92274986,50.69195893,55.35050061,59.19498234,64.29180368,71.72086226,76.79941542,86.55462185,93.50261844,100,108.4598723,116.6343873,123.4978627,128.9345512,132.882568,136.6231564,141.143034,145.7132674,149.7536988,152.5845815,163.633197,182.721938
Brazil,BRA,,,,,,,,,,,,,,,,,,,,,3.57203995820629E-10,7.20570021177795E-10,1.44505532582099E-09,3.39628003922508E-09,9.92127211260219E-09,3.2342321744633E-08,7.99317280305452E-08,2.62444768495788E-07,1.91352288553154E-06,2.92907487949526E-05,0.000892704,0.004756207,0.050033488,1.014369318,22.07154429,36.64031594,42.4139744,45.35186848,46.80089527,49.0746922,52.53158274,56.1249316,60.86758058,69.8241962,74.43062767,79.54366733,82.87143085,85.88900587,90.76629373,95.20298175,100,106.6364496,112.3985493,119.3721044,126.9272129,138.3886146,150.4825942,155.6687862,161.3738142,167.3978603,172.7742913,187.1174251,204.4821206
British Virgin Islands,VGB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,,,,,,,,,,,,,,,,,,49.3979185,,,58.38833967,63.72331486,67.77394418,68.56431088,70.6719554,72.33501866,73.62348103,74.54145902,75.43062155,76.41446343,78.04871123,79.29749061,80.31212386,83.72675497,85.78854176,90.9072364,92.72186894,94.3088594,93.89259961,93.50235605,94.95926533,95.52511849,93.31373833,93.59367955,94.35574175,95.52993962,95.6826806,96.60867282,98.62294456,99.64439989,100,100.1379116,100.249832,100.6400094,100.4315751,99.94112012,99.66259095,98.40633836,99.4150543,99.02681657,100.9482537,102.6981047,106.479706
Bulgaria,BGR,,,,,,,,,,,,,,,,,,,,,,,,,,0.024834863,0.025505404,0.02620078,0.026821652,0.028535257,0.035326648,0.154889375,0.296300173,0.512240158,1.004284419,1.627491445,3.606643794,41.77840809,49.57935786,50.85505597,56.10139684,60.2309866,63.73049345,65.22729439,69.23690145,72.7256368,78.00667774,84.5612155,95.0034429,97.61907981,100,104.2199035,107.2991517,108.2542145,106.7189708,106.6073072,105.7558881,107.9361475,110.9740586,114.4183932,116.3319732,120.1683043,138.5844081
Burkina Faso,BFA,10.71330051,12.70191821,12.91479087,13.63468751,13.88626429,13.7848595,14.11074819,13.49922309,13.46051897,14.76020333,15.02184318,15.33147615,14.88328243,16.01499091,17.41143557,20.67728925,18.94024833,24.61969094,26.65552767,30.65211514,34.39248133,36.99107597,41.45211288,44.83201982,47.00500885,50.25120194,48.93876973,47.62633752,49.65313157,49.41390342,49.16470743,50.22794365,49.22783708,49.50029136,61.96341345,66.58516841,70.64540173,72.28345003,75.95858166,75.14383956,74.91524285,78.66657338,80.37811793,82.01346358,81.68522216,86.92536198,88.95342505,88.74827416,98.20866083,100.7701162,100,102.7597672,106.6832918,107.2527016,106.9758936,107.7512966,108.2265245,109.8315227,111.9797647,108.3590229,110.4009836,114.4345199,130.7874822
Burundi,BDI,,,,,,1.468451155,1.533604277,1.516898349,1.608780958,1.673516432,1.670175247,1.734493073,1.800899141,1.909070031,2.209219887,2.556285561,2.731558599,2.918247355,3.615580673,4.93674122,5.060086662,5.675767361,6.008826859,6.498620238,7.429019235,7.711640436,7.840862519,8.398601703,8.775429971,9.798785499,10.48491308,11.42823428,11.63660909,12.76295681,14.65861517,17.48234139,22.10410981,28.98104978,32.60380005,33.70757701,41.94302039,45.8421223,45.21606558,50.03043014,54.12113292,61.2933033,62.97606191,68.27364782,84.93716361,93.90265116,100,109.5921661,129.495249,139.7745276,145.932088,154.0235683,162.5837201,188.6825292,183.3716857,182.11234,195.4449782,211.8712266,251.7048788
Cabo Verde,CPV,,,,,,,,,,,,,,,,,,,,,,,,29.56147918,32.88714559,34.66083434,38.42992293,39.90799689,41.53387824,43.42581291,48.0521844,52.64160405,54.28226614,57.42433861,59.40666027,64.36802235,68.20668636,74.04249312,77.29609435,80.66344748,78.66504551,81.30029679,82.8324286,83.81661899,82.23179615,82.57625825,87.00984103,90.84784254,97.00227101,97.96366389,100,104.4738834,107.1279342,108.7418625,108.4822107,108.6245263,107.0952925,107.9353643,109.2921071,110.5016065,111.1710206,113.2411951,122.2222742
